,ZipCode,Date,Zestimate,LogValue,AnchorDate,EventTime,RelLogValue
9009,50061,2016-11-30,355848.79462572606,12.78226118541165,2018-11-30,-24,-0.1118037197847137
9033,78245,2016-11-30,169976.61208152765,12.04341613057694,2018-11-30,-24,-0.11687176948230871
9064,50061,2016-12-31,356869.5815726474,12.785125676293324,2018-11-30,-23,-0.10893922890303998
9088,78245,2016-12-31,170837.79589237223,12.048469823282222,2018-11-30,-23,-0.11181807677702693
9119,50061,2017-01-31,357252.8875987013,12.786199178610955,2018-11-30,-22,-0.10786572658540905
9143,78245,2017-01-31,171798.9598544819,12.054080234116304,2018-11-30,-22,-0.10620766594294473
9171,50061,2017-02-28,357500.5320924585,12.786892129485604,2018-11-30,-21,-0.1071727757107599
9196,78245,2017-02-28,172672.3012847849,12.059150864964533,2018-11-30,-21,-0.10113703509471605
9226,50061,2017-03-31,357967.5973383086,12.788197751058352,2018-11-30,-20,-0.10586715413801251
9251,78245,2017-03-31,173523.0079206953,12.064065480070978,2018-11-30,-20,-0.09622241998827086
9281,50061,2017-04-30,359087.65375312016,12.791321798540203,2018-11-30,-19,-0.10274310665616149
9306,78245,2017-04-30,174335.5589747418,12.068737220882975,2018-11-30,-19,-0.09155067917627413
9336,50061,2017-05-31,360973.1809520012,12.79655894356362,2018-11-30,-18,-0.09750596163274494
9361,78245,2017-05-31,175146.4577978705,12.073377804600806,2018-11-30,-18,-0.08691009545844253
9391,50061,2017-06-30,362615.7315377908,12.801098961739019,2018-11-30,-17,-0.09296594345734555
9416,78245,2017-06-30,176032.99315580112,12.078426717564156,2018-11-30,-17,-0.08186118249509278
9446,50061,2017-07-31,363904.36288255913,12.804646372763223,2018-11-30,-16,-0.08941853243314135
9471,78245,2017-07-31,176746.5292810337,12.082471947249383,2018-11-30,-16,-0.07781595280986586
9501,50061,2017-08-31,364885.0638860908,12.807337689512506,2018-11-30,-15,-0.0867272156838581
9526,78245,2017-08-31,177363.85818002815,12.0859585974367,2018-11-30,-15,-0.074329302622548
9556,50061,2017-09-30,366473.480873552,12.81168143991068,2018-11-30,-14,-0.08238346528568385
9581,78245,2017-09-30,177869.18012838057,12.088803615972159,2018-11-30,-14,-0.07148428408708973
9590,20109,2017-09-30,272461.01284180774,12.515250810709485,2019-09-30,-24,-0.10327663517341179
9611,50061,2017-10-31,368373.2377659222,12.816851936223795,2018-11-30,-13,-0.07721296897256913
9636,78245,2017-10-31,178718.555091235,12.093567529507784,2018-11-30,-13,-0.06672037055146518
9645,20109,2017-10-31,274182.23833954934,12.521548267715957,2019-09-30,-23,-0.09697917816694002
9666,50061,2017-11-30,370777.8218106569,12.823358299155425,2018-11-30,-12,-0.07070660604093959
9691,78245,2017-11-30,179796.92984917414,12.099583325507766,2018-11-30,-12,-0.06070457455148315
9700,20109,2017-11-30,276200.0455468974,12.52888068486281,2019-09-30,-22,-0.08964676102008795
9721,50061,2017-12-31,372717.09632224333,12.828574955953366,2018-11-30,-11,-0.06548994924299834
9746,78245,2017-12-31,181101.97647743745,12.10681555754711,2018-11-30,-11,-0.05347234251213884
9755,20109,2017-12-31,278223.4031430332,12.53617967838058,2019-09-30,-21,-0.08234776750231632
9776,50061,2018-01-31,375139.3828835054,12.835052923583138,2018-11-30,-10,-0.05901198161322618
9801,78245,2018-01-31,182257.315975018,12.11317479158932,2018-11-30,-10,-0.04711310846992944
9810,20109,2018-01-31,279708.8129790506,12.541504387378149,2019-09-30,-20,-0.07702305850474822
9831,50061,2018-02-28,377364.22805612703,12.840966122199294,2018-11-30,-9,-0.05309878299707016
9856,78245,2018-02-28,183222.18468270436,12.118454819320316,2018-11-30,-9,-0.04183308073893244
9865,20109,2018-02-28,281146.6231167568,12.546631602681673,2019-09-30,-19,-0.071895843201224
9877,68138,2018-02-28,170719.44722207027,12.047776828609006,2020-02-29,-24,-0.12514616583544047
9886,50061,2018-03-31,380050.1585607936,12.84805851920445,2018-11-30,-8,-0.0460063859919142
9911,78245,2018-03-31,184052.86932608436,12.122978328612755,2018-11-30,-8,-0.03730957144649416
9920,20109,2018-03-31,282547.2727731434,12.551601152819382,2019-09-30,-18,-0.06692629306351527
9932,68138,2018-03-31,172099.51560007807,12.055828167553473,2020-02-29,-23,-0.11709482689097328
9941,50061,2018-04-30,381812.7481111541,12.852685579216509,2018-11-30,-7,-0.04137932597985561
9966,78245,2018-04-30,184821.05628442124,12.127143372631961,2018-11-30,-7,-0.033144527427287684
9975,20109,2018-04-30,283698.54907877377,12.5556675065039,2019-09-30,-17,-0.06285993937899725
9987,68138,2018-04-30,173191.73563703932,12.062154558250558,2020-02-29,-22,-0.11076843619388832
